,ID,地铁站名称,英文名称,是否换乘站,poiID
0,181 696,木渎,mu du,0,BV10129840
1,247 696,金枫路,jin feng lu,0,BV10137029
2,315 697,汾湖路,fen hu lu,0,BV10137030
3,380 697,玉山路,yu shan lu,0,BV10137031
4,426 651,狮子山,ShiZiShan,1,BV10129891
5,465 611,塔园路,ta yuan lu,0,BV10137032
6,530 611,滨河路,bin he lu,0,BV10130070
7,600 610,西环路,xi huan lu,0,BV10137033
8,665 609,桐泾北路,tong jing bei lu,0,BV10137034
9,730 609,广济南路,GuangJi NanLu,1,BV10130347
10,833 609,养育巷,yang yu xiang,0,BV10129990
11,914 609,乐桥,le qiao,1,BV10129992
12,982 609,临顿路,lin dun lu,0,BV10137035
13,1042 609,相门,xiang men,0,BV10129998
14,1108 609,东环路,dong huan lu,0,BV10130172
15,1171 609,中央公园,zhong yang gong yuan,0,BV10130547
16,1226 609,星海广场,xing hai guang chang,0,BV10137036
17,1282 609,东方之门,DongFang ZhiMen,1,BV10137037
18,1343 610,文化博览中心,wen hua bo lan zhong xin,0,BV10137038
19,1412 610,时代广场,shi dai guang chang,0,BV10137039
20,1462 610,星湖街,xing hu jie,0,BV10137040
21,1512 610,南施街,nan shi jie,0,BV10137041
22,1559 610,星塘街,XingTang Jie,1,BV10137042
23,1627 611,钟南街,zhong nan jie,0,BV10137043
24,960 0,骑河,QiHe,0,BV10786065
25,899 0,富翔路,FuXiang Lu,0,BV10786063
26,857 43,高铁苏州北站,GaoTie SuZhou BeiZhan,0,BV10137028
27,857 91,大湾,DaWan,0,BV10137027
28,857 138,富元路,FuYuan Lu,0,BV10137026
29,857 184,蠡口,LiKou,0,BV10130828
30,857 230,徐图港,XuTuGang,0,BV10137025
31,857 273,阳澄湖中路,YangChengHu ZhongLu,0,BV10130800
32,858 315,陆慕,LuMu,0,BV10130816
33,859 358,平泷路东,PingLong LuDong,0,BV10137024
34,829 396,平河路,PingHe Lu,0,BV10137023
35,791 426,苏州火车站,SuZhou HuoCheZhan,1,BV10137002
36,730 523,山塘街,ShanTang Jie,0,BV10129643
37,730 569,石路,ShiLu,0,BV10137022
38,731 664,三香广场,SanXiang GuangChang,0,BV10129909
39,731 743,劳动路,LaoDong Lu,1,BV10137021
40,732 775,胥江路,XuJiang Lu,0,BV10129566
41,733 833,桐泾公园,TongJing GongYuan,0,BV10129568
42,733 895,友联,YouLian,0,BV10137020
43,734 953,盘蠡路,PanLi Lu,1,BV10137019
44,808 1037,新家桥,XinJia Qiao,0,BV10130733
45,919 1037,石湖东路,ShiHu DongLu,1,BV10129962
46,990 1037,宝带桥南,BaoDai QiaoNan,0,BV10136276
47,1060 1037,尹中路,YinZhong Lu,0,BV10786061
48,1122 1037,郭巷,GuoXiang,0,BV10786059
49,1187 1037,郭苑路,GuoYuan Lu,0,BV10786058
50,1254 1037,尹山湖,Yin ShanHu,0,BV10786055
51,1313 1037,独墅湖南,DuShu HuNan,0,BV10786057
52,1379 1037,独墅湖邻里中心,DuShuHu LinLi ZhongXin,0,BV10786062
53,1444 1037,月亮湾,YueLiangWan,0,BV10786064
54,1504 1037,松涛街,SongTao Jie,0,BV10786066
55,1565 1037,金谷路,JinGu Lu,0,BV10786056
56,1628 1037,金尚路,JinShang Lu,0,BV10786060
57,1688 1037,桑田岛,SangTianDao,0,BV10786067
58,1700 460,唯亭,WeiTing,1,BV10676593
59,1658 460,戈巷街,GeXiang Jie,0,BV10676607
60,1621 460,葑亭大道,FengTing DaDao,1,BV10676591
61,1582 460,双马街,ShuangMa Jie,0,BV10676600
62,1540 459,丰和路,FengHe Lu,0,BV10676601
63,1505 459,方湾街,FangWan Jie,0,BV10676592
64,1466 459,苏州园区火车站,SuZhou YuanQu HuoCheZhan,0,BV10676594
65,1418 458,跨塘,KuaTang,0,BV10676606
66,1362 459,唐庄,TangZhuang,0,BV10676608
67,1282 493,倪浜,NiBang,0,BV10676596
68,1283 550,烟雨桥,YanYu Qiao,0,BV10676603
